timestamp,event,axis,row,target_kind,move_id,requested_steps,batch_delta,direction,total_pulses,raw_position_steps,logical_position_steps,gap_steps,backlash_steps,target_position_steps,monotonic_ns,message
2026-08-17 23:48:41.509,continuous_start,y,,,,,,1,0,0,,,4,,8350915686186,
2026-08-17 23:48:41.510,pulse_batch,y,,,,,1,,1,1,,,4,,8350917512644,
2026-08-17 23:48:41.532,pulse_batch,y,,,,,8,,9,9,,,4,,8350938747148,
2026-08-17 23:48:41.553,pulse_batch,y,,,,,8,,17,17,,,4,,8350959770876,
2026-08-17 23:48:41.575,pulse_batch,y,,,,,8,,25,25,,,4,,8350982133366,
2026-08-17 23:48:41.596,pulse_batch,y,,,,,8,,33,33,,,4,,8351003449035,
2026-08-17 23:48:41.617,pulse_batch,y,,,,,8,,41,41,,,4,,8351024526374,
2026-08-17 23:48:41.638,pulse_batch,y,,,,,7,,48,48,,,4,,8351044646356,
2026-08-17 23:48:41.659,pulse_batch,y,,,,,8,,56,56,,,4,,8351065880693,
2026-08-17 23:48:41.680,pulse_batch,y,,,,,8,,64,64,,,4,,8351086971939,
2026-08-17 23:48:41.701,pulse_batch,y,,,,,8,,72,72,,,4,,8351108178740,
2026-08-17 23:48:41.723,pulse_batch,y,,,,,7,,79,79,,,4,,8351130188289,
2026-08-17 23:48:41.744,pulse_batch,y,,,,,8,,87,87,,,4,,8351151294554,
2026-08-17 23:48:41.766,pulse_batch,y,,,,,8,,95,95,,,4,,8351172706592,
2026-08-17 23:48:41.788,pulse_batch,y,,,,,7,,102,102,,,4,,8351195007101,
2026-08-17 23:48:41.809,pulse_batch,y,,,,,8,,110,110,,,4,,8351216109495,
2026-08-17 23:48:41.830,pulse_batch,y,,,,,8,,118,118,,,4,,8351237452664,
2026-08-17 23:48:41.851,pulse_batch,y,,,,,7,,125,125,,,4,,8351257772199,
2026-08-17 23:48:41.872,pulse_batch,y,,,,,8,,133,133,,,4,,8351278999684,
2026-08-17 23:48:41.893,pulse_batch,y,,,,,8,,141,141,,,4,,8351300032561,
2026-08-17 23:48:41.913,pulse_batch,y,,,,,7,,148,148,,,4,,8351320096376,
2026-08-17 23:48:41.936,pulse_batch,y,,,,,8,,156,156,,,4,,8351342692325,
2026-08-17 23:48:41.957,pulse_batch,y,,,,,8,,164,164,,,4,,8351363709887,
2026-08-17 23:48:41.978,pulse_batch,y,,,,,7,,171,171,,,4,,8351384965169,
2026-08-17 23:48:41.999,pulse_batch,y,,,,,8,,179,179,,,4,,8351406328986,
2026-08-17 23:48:42.020,pulse_batch,y,,,,,8,,187,187,,,4,,8351427420658,
2026-08-17 23:48:42.042,pulse_batch,y,,,,,7,,194,194,,,4,,8351448929807,
2026-08-17 23:48:42.063,pulse_batch,y,,,,,7,,201,201,,,4,,8351469562819,
2026-08-17 23:48:42.084,pulse_batch,y,,,,,8,,209,209,,,4,,8351490737676,
2026-08-17 23:48:42.106,pulse_batch,y,,,,,8,,217,217,,,4,,8351512760596,
2026-08-17 23:48:42.107,continuous_stop,y,,,,,,1,217,217,,,4,,8351514166893,
2026-08-17 23:48:44.711,continuous_start,y,,,,,,-1,217,217,,,4,,8354118095385,
2026-08-17 23:48:44.715,pulse_batch,y,,,,,-1,,218,216,,,4,,8354122067408,
2026-08-17 23:48:44.735,pulse_batch,y,,,,,-3,,221,213,,,4,,8354142623347,
2026-08-17 23:48:44.756,pulse_batch,y,,,,,-3,,224,210,,,4,,8354163030085,
2026-08-17 23:48:44.778,pulse_batch,y,,,,,-3,,227,207,,,4,,8354184682696,
2026-08-17 23:48:44.798,pulse_batch,y,,,,,-3,,230,204,,,4,,8354205159784,
2026-08-17 23:48:44.818,pulse_batch,y,,,,,-3,,233,201,,,4,,8354225625781,
2026-08-17 23:48:44.841,pulse_batch,y,,,,,-3,,236,198,,,4,,8354247822255,
2026-08-17 23:48:44.861,pulse_batch,y,,,,,-3,,239,195,,,4,,8354268380083,
2026-08-17 23:48:44.882,pulse_batch,y,,,,,-3,,242,192,,,4,,8354288814617,
2026-08-17 23:48:44.902,pulse_batch,y,,,,,-3,,245,189,,,4,,8354309256447,
2026-08-17 23:48:44.923,pulse_batch,y,,,,,-3,,248,186,,,4,,8354329958570,
2026-08-17 23:48:44.943,pulse_batch,y,,,,,-3,,251,183,,,4,,8354350438584,
2026-08-17 23:48:44.964,pulse_batch,y,,,,,-3,,254,180,,,4,,8354370889118,
2026-08-17 23:48:44.981,pulse_batch,y,,,,,-2,,256,178,,,4,,8354388068156,
2026-08-17 23:48:44.981,continuous_stop,y,,,,,,-1,256,178,,,4,,8354388324764,
2026-08-17 23:48:45.244,continuous_start,y,,,,,,-1,256,178,,,4,,8354651005485,
2026-08-17 23:48:45.248,pulse_batch,y,,,,,-1,,257,177,,,4,,8354654766159,
2026-08-17 23:48:45.268,pulse_batch,y,,,,,-3,,260,174,,,4,,8354675549078,
2026-08-17 23:48:45.289,pulse_batch,y,,,,,-3,,263,171,,,4,,8354695932946,
2026-08-17 23:48:45.311,pulse_batch,y,,,,,-3,,266,168,,,4,,8354718275400,
